,State,Income
0,Alabama,73434
1,Alaska,92667
2,Arizona,84036
3,Arkansas,70743
4,California,113687
5,Colorado,100617
6,Connecticut,116557
7,Delaware,89598
8,District of Columbia,140207
9,Florida,82631
10,Georgia,87220
11,Hawaii,100088
12,Idaho,77409
13,Illinois,97627
14,Indiana,79866
15,Iowa,80283
16,Kansas,81773
17,Kentucky,74141
18,Louisiana,75581
19,Maine,78888
20,Maryland,114000
21,Massachusetts,121935
22,Michigan,82645
23,Minnesota,97960
24,Mississippi,67076
25,Missouri,79425
26,Montana,74840
27,Nebraska,81600
28,Nevada,86085
29,New Hampshire,101941
30,New Jersey,122348
31,New Mexico,70840
32,New York,112517
33,North Carolina,80933
34,North Dakota,83386
35,Ohio,80493
36,Oklahoma,76110
37,Oregon,88330
38,Pennsylvania,90297
39,Rhode Island,94791
40,South Carolina,77528
41,South Dakota,74697
42,Tennessee,79487
43,Texas,89653
44,Utah,94265
45,Vermont,80740
46,Virginia,104075
47,Washington,107023
48,West Virginia,68027
49,Wisconsin,83192
50,Wyoming,80473
51,Puerto Rico,0
